# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
你们,你們,nǐ men,you (plural),姥姥说：“你和小飞为什么分手呢？你们以前在一起那么好，我觉得他很爱你。”,姥姥說：“你和小飛為什麼分手呢？你們以前在一起那麼好，我覺得他很愛你。”,lǎo lao shuō ：“ nǐ hé xiǎo fēi wèi shén me fēn shǒu ne ？ nǐ men yǐ qián zài yì qǐ nà me hǎo ， wǒ jué de tā hěn ài nǐ 。”,"Grandma said, “Why did you and Little Fei break up? You two were so good together before. I think he really loves you.”"
姥姥,姥姥,lǎo lao,"(coll.) mother's mother
maternal grandmother",姥姥和妈妈在打电话。姥姥问妈妈：“你见到小飞了吗？”,姥姥和媽媽在打電話。姥姥問媽媽：“你見到小飛了嗎？”,lǎo lao hé mā ma zài dǎ diàn huà 。 lǎo lao wèn mā ma ：“ nǐ jiàn dào xiǎo fēi le ma ？”,"Grandma and Mom were on the phone. Grandma asked Mom, “Have you seen Little Fei yet?”"
说到,說到,shuō dào,"to speak of
to mention",说到小飞，妈妈有点儿不高兴，她问姥姥：“妈，你为什么告诉小飞我在日本？”,說到小飛，媽媽有點兒不高興，她問姥姥：“媽，你為什麼告訴小飛我在日本？”,shuō dào xiǎo fēi ， mā ma yǒu diǎn'r bù gāo xìng ， tā wèn lǎo lao ：“ mā ， nǐ wèi shén me gào su xiǎo fēi wǒ zài rì běn ？”,"When Little Fei was mentioned, Mom was a little unhappy. She asked Grandma, “Mom, why did you tell Little Fei I was in Japan?”"
以前,以前,yǐ qián,"before
formerly",“那是因为以前你们一个在日本，一个在中国。”,“那是因為以前你們一個在日本，一個在中國。”,“ nà shì yīn wèi yǐ qián nǐ men yí ge zài rì běn ， yí ge zài zhōng guó 。”,"“That is because before, one of you was in Japan, and one was in China.”"
房子,房子,fáng zi,"apartment
house",你们回北京以后，房子有了，车也有了。,你們回北京以後，房子有了，車也有了。,nǐ men huí běi jīng yǐ hòu ， fáng zi yǒu le ， chē yě yǒu le 。,"After you both return to Beijing, there will be an apartment and a car."
读书,讀書,dú shū,"to read a book
to study",姥姥说，“现在小飞也在日本了，你们在那儿一起读书，,姥姥說，“現在小飛也在日本了，你們在那兒一起讀書，,lǎo lao shuō ，“ xiàn zài xiǎo fēi yě zài rì běn le ， nǐ men zài nà'r yì qǐ dú shū ，,"Grandma said, “Now Little Fei is also in Japan, you can study together there."
都,都,dōu,"all
both
entirely",姥姥很喜欢给妈妈打电话，每次打电话都会打很长时间。,姥姥很喜歡給媽媽打電話，每次打電話都會打很長時間。,lǎo lao hěn xǐ huan gěi mā ma dǎ diàn huà ， měi cì dǎ diàn huà dōu huì dǎ hěn cháng shí jiān 。,"Grandma really likes calling Mom. Every time she calls, they talk for a very long time."
长,長,cháng,"length
long",姥姥很喜欢给妈妈打电话，每次打电话都会打很长时间。,姥姥很喜歡給媽媽打電話，每次打電話都會打很長時間。,lǎo lao hěn xǐ huan gěi mā ma dǎ diàn huà ， měi cì dǎ diàn huà dōu huì dǎ hěn cháng shí jiān 。,"Grandma really likes calling Mom. Every time she calls, they talk for a very long time."
可爱,可愛,kě ài,"cute
adorable
lovely",钱多多不高兴了。她想去宠物店，她想看看那些可爱的猫和狗。,錢多多不高興了。她想去寵物店，她想看看那些可愛的貓和狗。,qián duō duō bù gāo xìng le 。 tā xiǎng qù chǒng wù diàn ， tā xiǎng kàn kan nà xiē kě ài de māo hé gǒu 。,Qian Duoduo was unhappy. She wanted to go to the pet store. She wanted to see those cute cats and dogs.
只,隻,zhī,classifier for birds and certain animals,钱多多在一只小狗的前面。钱多多认识她！,錢多多在一隻小狗的前面。錢多多認識她！,qián duō duō zài yì zhī xiǎo gǒu de qián miàn 。 qián duō duō rèn shi tā ！,Qian Duoduo was in front of a little dog. Qian Duoduo recognized her!
宠物,寵物,chǒng wù,house pet,钱多多不高兴了。她想去宠物店，她想看看那些可爱的猫和狗。,錢多多不高興了。她想去寵物店，她想看看那些可愛的貓和狗。,qián duō duō bù gāo xìng le 。 tā xiǎng qù chǒng wù diàn ， tā xiǎng kàn kan nà xiē kě ài de māo hé gǒu 。,Qian Duoduo was unhappy. She wanted to go to the pet store. She wanted to see those cute cats and dogs.
前面,前面,qián miàn,"ahead
in front",钱多多在一只小狗的前面。钱多多认识她！,錢多多在一隻小狗的前面。錢多多認識她！,qián duō duō zài yì zhī xiǎo gǒu de qián miàn 。 qián duō duō rèn shi tā ！,Qian Duoduo was in front of a little dog. Qian Duoduo recognized her!
给,給,gěi,to give,“上次我给你水，给你吃的，对不对？我和你玩了，对不对？”,“上次我給你水，給你吃的，對不對？我和你玩了，對不對？”,“ shàng cì wǒ gěi nǐ shuǐ ， gěi nǐ chī de ， duì bú duì ？ wǒ hé nǐ wán le ， duì bú duì ？ ”,"“Last time, I gave you water and something to eat, right? I played with you, right?”"
以后,以後,yǐ hòu,"afterwards
in the future",妈妈说：“以后，以后我们两个人去，你是姐姐……”,媽媽說：“以後，以後我們兩個人去，你是姐姐……”,mā ma shuō ： “ yǐ hòu ， yǐ hòu wǒ men liǎng ge rén qù ， nǐ shì jiě jie … … ”,"“Mom said, “Next time, next time the two of us can go. You’re the big sister …”"
认识,認識,rèn shi,"to know
to recognize
to be familiar with",他们真的只认识九分钟吗？不知道为什么，高先生觉得他们是老朋友……,他們真的只認識九分鐘嗎？不知道為什麼，高先生覺得他們是老朋友……,tā men zhēn de zhǐ rèn shi jiǔ fēn zhōng ma ？ bù zhī dào wèi shén me ， gāo xiān sheng jué de tā men shì lǎo péng you … …,"Did they really only know each other for nine minutes? For some reason, Mr. Gao felt like they were old friends …"
等,等,děng,"to wait for
to await",高先生说：“对不起，钟小姐，你是在这里等人吗？”,高先生說：“對不起，鍾小姐，你是在這裡等人嗎？”,gāo xiān sheng shuō ： “ duì bu qǐ ， zhōng xiǎo jiě ， nǐ shì zài zhè lǐ děng rén ma ？ ”,"Mr. Gao said, “I’m sorry, Miss Zhong. Are you waiting here for someone?”"
意思,意思,yì si,meaning,“我知道你会做饭。我的意思是你想做什么菜？”钟小姐说。,“我知道你會做飯。我的意思是你想做什麼菜？”鍾小姐說。,“ wǒ zhī dào nǐ huì zuò fàn 。 wǒ de yì si shì nǐ xiǎng zuò shén me cài ？ ” zhōng xiǎo jiě shuō 。,"“I know you can cook. What I mean is, what dish do you want to make?” Miss Zhong said."
脸,臉,liǎn,face,现在是十二月，天气很冷，但是高先生很热，他的脸很红。,現在是十二月，天氣很冷，但是高先生很熱，他的臉很紅。,xiàn zài shì shí èr yuè ， tiān qì hěn lěng ， dàn shì gāo xiān sheng hěn rè ， tā de liǎn hěn hóng 。,"It was now December, and the weather was very cold. But Mr. Gao was very hot, and his face was very red."
脸,臉,liǎn,face,现在是十二月，天气很冷，但是高先生很热，他的脸很红。,現在是十二月，天氣很冷，但是高先生很熱，他的臉很紅。,xiàn zài shì shí èr yuè ， tiān qì hěn lěng ， dàn shì gāo xiān sheng hěn rè ， tā de liǎn hěn hóng 。,"It was now December, and the weather was very cold. But Mr. Gao was very hot, and his face was very red."
只,只,zhǐ,"only
merely",很多人在过马路，但是高先生只能看见那个红衣服的女人。,很多人在過馬路，但是高先生只能看見那個紅衣服的女人。,hěn duō rén zài guò mǎ lù ， dàn shì gāo xiān sheng zhǐ néng kàn jiàn nà ge hóng yī fu de nǚ rén 。,"Many people were crossing the road, but Mr. Gao could only see the woman in the red dress."
咖啡店,咖啡店,kā fēi diàn,"café
coffee shop",前面是一个咖啡店。这个咖啡店不大，但是有很多人。,前面是一個咖啡店。這個咖啡店不大，但是有很多人。,qián miàn shì yí ge kā fēi diàn 。 zhè ge kā fēi diàn bú dà ， dàn shì yǒu hěn duō rén 。,"There was a coffee shop ahead. This coffee shop was not big, but there were a lot of people."
马路,馬路,mǎ lù,"street
road",绿灯了。高先生想过马路。有人叫高先生：“高老师，你好！”,綠燈了。高先生想過馬路。有人叫高先生：“高老師，你好！”,lǜ dēng le 。 gāo xiān sheng xiǎng guò mǎ lù 。 yǒu rén jiào gāo xiān sheng ： “ gāo lǎo shī ， nǐ hǎo ！ ”,"The light turned green. Mr. Gao wanted to cross the road. Someone called out to Mr. Gao: “Hello, Teacher Gao!”"
过,過,guò,to celebrate (a holiday),今天是妈妈的生日，果果想和妈妈一起过生日吧。,今天是媽媽的生日，果果想和媽媽一起過生日吧。,jīn tiān shì mā ma de shēng rì ， guǒ guǒ xiǎng hé mā ma yì qǐ guò shēng rì ba 。,Today was Mom’s birthday. Guoguo wanted to celebrate Mom’s birthday with her.
找,找,zhǎo,"to try to find
to look for
to call on sb",今天是星期五。今天天气很好，我去找东西吃。,今天是星期五。今天天氣很好，我去找東西吃。,jīn tiān shì xīng qī wǔ 。 jīn tiān tiān qì hěn hǎo ， wǒ qù zhǎo dōng xi chī 。,"Today was Friday. The weather was good today, and I went to look for something to eat."
那儿,那兒,nà'r,"there
over there",我看见一个商店，那儿有一个苹果。一个猫在那儿吃苹果。,我看見一個商店，那兒有一個蘋果。一個貓在那兒吃蘋果。,wǒ kàn jiàn yí ge shāng diàn ， nà'r yǒu yí ge píng guǒ 。 yí ge māo zài nà'r chī píng guǒ 。,I saw a store. There was an apple there. A cat was there eating the apple.
笑,笑,xiào,"laugh
smile",“我们一起吃，你吃一点儿，我吃一点儿，好吗？”他笑了。,“我們一起吃，你吃一點兒，我吃一點兒，好嗎？”他笑了。,“ wǒ men yì qǐ chī ， nǐ chī yì diǎn'r ， wǒ chī yì diǎn'r ， hǎo ma ？” tā xiào le 。,"“We’ll eat it together. You’ll eat a bit, and I’ll eat a bit. Ok?” he smiled."
苹果,蘋果,píng guǒ,apple,一个苹果,一個蘋果,yí ge píng guǒ,An Apple
那,那,nà,"that
those",今天是星期五，我去商店。这个商店没有饭，那个商店也没有饭。,今天是星期五，我去商店。這個商店沒有飯，那個商店也沒有飯。,jīn tiān shì xīng qī wǔ ， wǒ qù shāng diàn 。 zhè ge shāng diàn méi yǒu fàn ， nà ge shāng diàn yě méi yǒu fàn 。,Today was Friday. I went to the store. This store didn’t have food; that store also didn’t have food.
们,們,men,"plural marker for pronouns, and nouns referring to individuals",“我们一起吃，你吃一点儿，我吃一点儿，好吗？”他笑了。,“我們一起吃，你吃一點兒，我吃一點兒，好嗎？”他笑了。,“ wǒ men yì qǐ chī ， nǐ chī yì diǎn'r ， wǒ chī yì diǎn'r ， hǎo ma ？” tā xiào le 。,"“We’ll eat it together. You’ll eat a bit, and I’ll eat a bit. Ok?” he smiled."
饭,飯,fàn,"food
cuisine
meal",今天是星期五，我去商店。这个商店没有饭，那个商店也没有饭。,今天是星期五，我去商店。這個商店沒有飯，那個商店也沒有飯。,jīn tiān shì xīng qī wǔ ， wǒ qù shāng diàn 。 zhè ge shāng diàn méi yǒu fàn ， nà ge shāng diàn yě méi yǒu fàn 。,Today was Friday. I went to the store. This store didn’t have food; that store also didn’t have food.
不,不,bù,"(negative prefix)
not
no",李汉家有很多钱。他不知道为什么儿子会不高兴，有什么是钱买不到的吗？,李漢家有很多錢。他不知道為什麼兒子會不高興，有什麼是錢買不到的嗎？,lǐ hàn jiā yǒu hěn duō qián 。 tā bù zhī dào wèi shén me ér zi huì bù gāo xìng ， yǒu shén me shì qián mǎi bú dào de ma ？,Li Han’s family had a lot of money. He didn’t know why his son would be unhappy. What couldn’t money buy?
到,到,dào,(verb complement denoting completion or result of an action),李汉家有很多钱。他不知道为什么儿子会不高兴，有什么是钱买不到的吗？,李漢家有很多錢。他不知道為什麼兒子會不高興，有什麼是錢買不到的嗎？,lǐ hàn jiā yǒu hěn duō qián 。 tā bù zhī dào wèi shén me ér zi huì bù gāo xìng ， yǒu shén me shì qián mǎi bú dào de ma ？,Li Han’s family had a lot of money. He didn’t know why his son would be unhappy. What couldn’t money buy?
睡觉,睡覺,shuì jiào,"to sleep
to go to bed",我是猫。我一岁了。我喜欢吃东西。我也喜欢睡觉。,我是貓。我一歲了。我喜歡吃東西。我也喜歡睡覺。,wǒ shì māo 。 wǒ yí suì le 。 wǒ xǐ huan chī dōng xi 。 wǒ yě xǐ huan shuì jiào 。,I’m a cat. I’m one year old. I like to eat food. I also like to sleep.
一点儿,一點兒,yì diǎn'r,"a bit
a little",“我们一起吃，你吃一点儿，我吃一点儿，好吗？”他笑了。,“我們一起吃，你吃一點兒，我吃一點兒，好嗎？”他笑了。,“ wǒ men yì qǐ chī ， nǐ chī yì diǎn'r ， wǒ chī yì diǎn'r ， hǎo ma ？” tā xiào le 。,"“We’ll eat it together. You’ll eat a bit, and I’ll eat a bit. Ok?” he smiled."
一起,一起,yì qǐ,together,“我们一起吃，你吃一点儿，我吃一点儿，好吗？”他笑了。,“我們一起吃，你吃一點兒，我吃一點兒，好嗎？”他笑了。,“ wǒ men yì qǐ chī ， nǐ chī yì diǎn'r ， wǒ chī yì diǎn'r ， hǎo ma ？” tā xiào le 。,"“We’ll eat it together. You’ll eat a bit, and I’ll eat a bit. Ok?” he smiled."
看见,看見,kàn jiàn,"to see
to catch sight of",我看见一个商店，那儿有一个苹果。一个猫在那儿吃苹果。,我看見一個商店，那兒有一個蘋果。一個貓在那兒吃蘋果。,wǒ kàn jiàn yí ge shāng diàn ， nà'r yǒu yí ge píng guǒ 。 yí ge māo zài nà'r chī píng guǒ 。,I saw a store. There was an apple there. A cat was there eating the apple.
分钟,分鐘,fēn zhōng,minute,你有十二分钟，你会做什么？,你有十二分鐘，你會做什麼？,nǐ yǒu shí èr fēn zhōng ， nǐ huì zuò shén me ？,"If you had twelve minutes, what would you do?"
